player_id,player_fullname,age,birth_date,birth_place,nationality,height_cm,weight_kg,player_photo,club,league,position,minutes,rating,shots,goals,assists,passes,key_passes,tackles,blocks,interceptions,duels,duels_won,dribbles_attempted,dribbles_success,fouls_drawn,fouls_committed,team_logo,league_logo,goals_p90,assists_p90
38734,Sven Adriaan Botman,25.0,2000-01-12,Badhoevedorp,Netherlands,193,81,https://media.api-sports.io/football/players/38734.png,Newcastle,Premier League,Defender,658,6.78,4.59,3.94,3.99,7.81,6.61,1.63,8.7,4.06,2.81,3.15,2.79,4.13,2.36,6.39,https://media.api-sports.io/football/teams/34.png,https://media.api-sports.io/football/leagues/39.png,0.0,0.0
315237,William Idamudia Daugaard Osula,22.0,2003-08-04,Aarhus,Denmark,180,81,https://media.api-sports.io/football/players/315237.png,Newcastle,Premier League,Attacker,236,6.53,5.26,7.69,3.37,0.48,2.72,2.65,9.25,2.21,6.12,2.86,4.61,6.67,1.94,0.37,https://media.api-sports.io/football/teams/34.png,https://media.api-sports.io/football/leagues/39.png,0.3813559322033898,0.0
328105,Lewis Miley,19.0,2006-05-01,Stanley,England,185,72,https://media.api-sports.io/football/players/328105.png,Newcastle,Premier League,Midfielder,579,6.84,3.86,8.24,9.34,7.53,6.97,2.91,5.31,7.87,1.05,3.99,1.93,4.5,1.83,8.83,https://media.api-sports.io/football/teams/34.png,https://media.api-sports.io/football/leagues/39.png,0.15544041450777202,0.31088082901554404
18963,Lewis Carl Dunk,34.0,1991-11-21,Brighton,England,192,88,https://media.api-sports.io/football/players/18963.png,Brighton,Premier League,Defender,1395,6.79,6.15,3.94,3.99,9.81,3.17,2.14,6.75,4.18,1.61,2.09,3.08,4.64,2.31,8.61,https://media.api-sports.io/football/teams/51.png,https://media.api-sports.io/football/leagues/39.png,0.0,0.0
22160,Olivier Maxime Boscagli,28.0,1997-11-18,Monaco,France,181,68,https://media.api-sports.io/football/players/22160.png,Brighton,Premier League,Defender,60,6.6,1.41,3.94,3.99,9.95,1.39,8.97,1.25,9.8,5.96,5.02,1.19,1.68,0.84,0.43,https://media.api-sports.io/football/teams/51.png,https://media.api-sports.io/football/leagues/39.png,0.0,0.0
90590,Georginio Rutter,23.0,2002-04-20,Vannes,France,182,83,https://media.api-sports.io/football/players/90590.png,Brighton,Premier League,Attacker,1001,6.72,4.42,5.27,7.89,5.1,6.73,6.22,6.94,6.22,5.36,5.48,6.94,7.99,6.6,4.32,https://media.api-sports.io/football/teams/51.png,https://media.api-sports.io/football/leagues/39.png,0.0899100899100899,0.1798201798201798
328225,Brajan Gruda,21.0,2004-05-31,,Germany,178,70,https://media.api-sports.io/football/players/328225.png,Brighton,Premier League,Midfielder,411,6.62,9.32,8.73,8.78,1.17,8.02,6.92,2.18,1.06,8.51,7.35,9.58,9.05,6.97,5.84,https://media.api-sports.io/football/teams/51.png,https://media.api-sports.io/football/leagues/39.png,0.21897810218978103,0.21897810218978103
356041,Carlos Noom Quomah Baleba,21.0,2004-01-03,Douala,Cameroon,179,73,https://media.api-sports.io/football/players/356041.png,Brighton,Premier League,Midfielder,911,6.49,5.33,3.41,3.3,4.84,2.2,5.09,5.92,8.83,5.77,5.35,4.47,5.87,4.74,1.93,https://media.api-sports.io/football/teams/51.png,https://media.api-sports.io/football/leagues/39.png,0.0,0.0
131,Jorge Cuenca Barreno,26.0,1999-11-17,Madrid,Spain,190,75,https://media.api-sports.io/football/players/131.png,Fulham,Premier League,Defender,178,6.63,1.41,3.94,3.99,4.95,1.39,2.44,8.4,9.69,0.55,1.13,5.22,7.32,0.84,9.48,https://media.api-sports.io/football/teams/36.png,https://media.api-sports.io/football/leagues/39.png,0.0,0.0
1161,Emile Smith Rowe,25.0,2000-07-28,Croydon,England,182,79,https://media.api-sports.io/football/players/1161.png,Fulham,Premier League,Midfielder,511,6.76,9.0,9.66,3.3,7.97,4.43,2.32,5.6,6.23,0.78,0.86,6.21,4.84,2.69,8.73,https://media.api-sports.io/football/teams/36.png,https://media.api-sports.io/football/leagues/39.png,0.5283757338551859,0.0
